"""call_number""","""unit_id""","""incident_number""","""call_type""","""call_date""","""watch_date""","""received_dttm""","""entry_dttm""","""dispatch_dttm""","""response_dttm""","""on_scene_dttm""","""transport_dttm""","""hospital_dttm""","""call_final_disposition""","""available_dttm""","""address""","""city""","""zipcode_of_incident""","""battalion""","""station_area""","""box""","""original_priority""","""priority""","""final_priority""","""als_unit""","""call_type_group""","""number_of_alarms""","""unit_type""","""unit_sequence_in_call_dispatch""","""fire_prevention_district""","""supervisor_district""","""neighborhoods_analysis_boundaries""","""rowid""","""case_location""","""data_as_of""","""data_loaded_at""",""":@computed_region_ajp5_b2md"""
"""063120281""","""E02""","""06088129""","""Structure Fire / Smoke in Building""","""2006-11-08T00:00:00.000""","""2006-11-08T00:00:00.000""","""2006-11-08T14:11:31.000""","""2006-11-08T14:11:31.000""","""2006-11-08T14:11:39.000""",,,,,"""Other""","""2006-11-08T14:13:58.000""","""UNION ST/FRANKLIN ST""","""SF""","""94123""","""B04""","""16""","""0323""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""4""","""4""","""2""","""Marina""","""063120281-E02""","""POINT (-122.42563 37.798344)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""13"""
"""063130327""","""E01""","""06088472""","""Medical Incident""","""2006-11-09T00:00:00.000""","""2006-11-09T00:00:00.000""","""2006-11-09T17:54:59.000""","""2006-11-09T17:56:12.000""","""2006-11-09T17:56:21.000""","""2006-11-09T17:57:12.000""",,,,"""Other""","""2006-11-09T18:17:57.000""","""04TH ST/HOWARD ST""","""SF""","""94103""","""B03""","""01""","""2214""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""3""","""6""","""Financial District/South Beach""","""063130327-E01""","""POINT (-122.40271 37.78326)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063190200""","""M38""","""06090094""","""Medical Incident""","""2006-11-15T00:00:00.000""","""2006-11-15T00:00:00.000""","""2006-11-15T13:06:04.000""","""2006-11-15T13:08:05.000""","""2006-11-15T13:09:42.000""","""2006-11-15T13:12:26.000""","""2006-11-15T13:18:34.000""","""2006-11-15T13:42:57.000""",,"""Code 2 Transport""","""2006-11-15T14:17:54.000""","""CALIFORNIA ST/COMMONWEALTH AVE""","""SF""","""94118""","""B07""","""10""","""0449""","""1""","""1""","""2""","""true""",,"""1""","""MEDIC""","""1""","""7""","""2""","""Presidio Heights""","""063190200-M38""","""POINT (-122.455864 37.786106)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""31"""
"""063270326""","""E08""","""06092391""","""Alarms""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T19:54:41.000""","""2006-11-23T19:56:38.000""","""2006-11-23T19:56:47.000""","""2006-11-23T19:58:08.000""","""2006-11-23T19:59:44.000""",,,"""Other""","""2006-11-23T20:08:17.000""","""04TH ST/BERRY ST""","""SF""","""94158""","""B03""","""08""","""2171""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""3""","""6""","""Mission Bay""","""063270326-E08""","""POINT (-122.39336 37.775787)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""4"""
"""063280262""","""E03""","""06092629""","""Medical Incident""","""2006-11-24T00:00:00.000""","""2006-11-24T00:00:00.000""","""2006-11-24T18:22:06.000""","""2006-11-24T18:23:53.000""","""2006-11-24T18:24:05.000""","""2006-11-24T18:24:58.000""","""2006-11-24T18:27:16.000""",,,"""Other""","""2006-11-24T18:32:58.000""","""EDDY ST/LEAVENWORTH ST""","""SF""","""94102""","""B02""","""03""","""1545""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""2""","""6""","""Tenderloin""","""063280262-E03""","""POINT (-122.41424 37.783722)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063230145""","""M07""","""06091184""","""Medical Incident""","""2006-11-19T00:00:00.000""","""2006-11-19T00:00:00.000""","""2006-11-19T11:05:44.000""","""2006-11-19T11:07:36.000""","""2006-11-19T11:08:15.000""","""2006-11-19T11:09:12.000""",,,,"""Cancelled""","""2006-11-19T11:10:30.000""","""NOE ST/24TH ST""","""SF""","""94114""","""B06""","""11""","""5522""","""1""","""1""","""2""","""true""",,"""1""","""MEDIC""","""1""","""6""","""8""","""Noe Valley""","""063230145-M07""","""POINT (-122.43188 37.75144)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""22"""
"""063170237""","""E15""","""06089540""","""Medical Incident""","""2006-11-13T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-13T14:50:38.000""","""2006-11-13T14:52:49.000""","""2006-11-13T14:53:02.000""","""2006-11-13T14:54:06.000""","""2006-11-13T14:58:14.000""",,,"""Other""","""2006-11-13T15:13:02.000""","""AVALON AVE/PARIS ST""","""SF""","""94112""","""B09""","""32""","""6114""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""9""","""11""","""Excelsior""","""063170237-E15""","""POINT (-122.43096 37.726925)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""7"""
"""063120347""","""B04""","""06088177""","""Structure Fire / Smoke in Building""","""2006-11-08T00:00:00.000""","""2006-11-08T00:00:00.000""","""2006-11-08T17:22:57.000""","""2006-11-08T17:23:45.000""","""2006-11-08T17:23:53.000""","""2006-11-08T17:25:31.000""",,,,"""Other""","""2006-11-08T17:28:42.000""","""FERN ST/LARKIN ST""","""SF""","""94109""","""B04""","""03""","""1636""","""3""","""3""","""3""","""false""",,"""1""","""CHIEF""","""5""","""4""","""3""","""Nob Hill""","""063120347-B04""","""POINT (-122.41856 37.788433)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""21"""
"""063220116""","""E12""","""06090853""","""Medical Incident""","""2006-11-18T00:00:00.000""","""2006-11-18T00:00:00.000""","""2006-11-18T09:02:23.000""","""2006-11-18T09:02:37.000""","""2006-11-18T09:02:48.000""","""2006-11-18T09:04:28.000""","""2006-11-18T09:07:22.000""",,,"""Other""","""2006-11-18T09:20:01.000""","""FULTON ST/WILLARD ST""","""SF""","""94118""","""B07""","""21""","""4561""","""E""","""E""","""3""","""true""",,"""1""","""ENGINE""","""2""","""7""","""1""","""Golden Gate Park""","""063220116-E12""","""POINT (-122.45628 37.774555)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""12"""
"""063250105""","""M18""","""06091702""","""Medical Incident""","""2006-11-21T00:00:00.000""","""2006-11-21T00:00:00.000""","""2006-11-21T09:27:25.000""","""2006-11-21T09:28:47.000""","""2006-11-21T09:29:32.000""","""2006-11-21T09:32:13.000""","""2006-11-21T09:36:51.000""","""2006-11-21T09:47:05.000""","""2006-11-21T09:57:16.000""","""Code 2 Transport""","""2006-11-21T10:22:14.000""","""35TH AVE/ANZA ST""","""SF""","""94121""","""B07""","""34""","""7251""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""3""","""7""","""1""","""Outer Richmond""","""063250105-M18""","""POINT (-122.49531 37.777676)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""29"""
"""063190058""","""E15""","""06090011""","""Industrial Accidents""","""2006-11-15T00:00:00.000""","""2006-11-14T00:00:00.000""","""2006-11-15T07:45:07.000""","""2006-11-15T07:45:07.000""","""2006-11-15T07:45:18.000""","""2006-11-15T07:46:43.000""","""2006-11-15T07:49:39.000""",,,"""Other""","""2006-11-15T08:08:00.000""","""OTSEGO AVE/SAN JUAN AVE""","""SF""","""94112""","""B09""","""15""","""8275""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""9""","""11""","""Outer Mission""","""063190058-E15""","""POINT (-122.43962 37.725964)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""28"""
"""063260002""","""B08""","""06091913""","""Alarms""","""2006-11-22T00:00:00.000""","""2006-11-21T00:00:00.000""","""2006-11-22T00:25:47.000""","""2006-11-22T00:27:10.000""","""2006-11-22T00:27:19.000""","""2006-11-22T00:29:03.000""","""2006-11-22T00:32:08.000""",,,"""Fire""","""2006-11-22T00:34:03.000""","""WINSTON DR/BUCKINGHAM WAY""","""SF""","""94132""","""B08""","""19""","""8861""","""3""","""3""","""3""","""false""",,"""1""","""CHIEF""","""3""","""8""","""7""","""Lakeshore""","""063260002-B08""","""POINT (-122.4787 37.72821)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""16"""
"""063240166""","""E42""","""06091450""","""Odor (Strange / Unknown)""","""2006-11-20T00:00:00.000""","""2006-11-20T00:00:00.000""","""2006-11-20T12:05:55.000""","""2006-11-20T12:07:27.000""","""2006-11-20T12:07:37.000""","""2006-11-20T12:08:59.000""","""2006-11-20T12:11:03.000""",,,"""Fire""","""2006-11-20T12:20:36.000""","""SILVER AVE/CAMBRIDGE ST""","""SF""","""94134""","""B09""","""42""","""0635""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""9""","""9""","""Excelsior""","""063240166-E42""","""POINT (-122.41949 37.729046)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""7"""
"""063280283""","""RC2""","""06092646""","""Medical Incident""","""2006-11-24T00:00:00.000""","""2006-11-24T00:00:00.000""","""2006-11-24T19:37:54.000""","""2006-11-24T19:37:54.000""","""2006-11-24T19:38:50.000""","""2006-11-24T19:39:37.000""","""2006-11-24T19:44:11.000""",,,"""Other""","""2006-11-24T19:52:58.000""","""TURK ST/PIERCE ST""","""SF""","""94115""","""B05""","""05""","""3643""","""E""","""E""","""3""","""true""",,"""1""","""RESCUE CAPTAIN""","""4""","""5""","""5""","""Western Addition""","""063280283-RC2""","""POINT (-122.435425 37.78008)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""39"""
"""063210333""","""71""","""06090733""","""Medical Incident""","""2006-11-17T00:00:00.000""","""2006-11-17T00:00:00.000""","""2006-11-17T21:36:49.000""","""2006-11-17T21:40:14.000""","""2006-11-17T21:40:21.000""","""2006-11-17T21:40:41.000""","""2006-11-17T21:46:20.000""","""2006-11-17T22:03:33.000""","""2006-11-17T22:34:01.000""","""Code 2 Transport""","""2006-11-17T22:49:35.000""","""UNION ST/POWELL ST""","""SF""","""94133""","""B01""","""28""","""1422""","""2""","""2""","""2""","""true""",,"""1""","""MEDIC""","""1""","""1""","""3""","""Chinatown""","""063210333-71""","""POINT (-122.410835 37.80024)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""6"""
"""063130255""","""E01""","""06088421""","""Alarms""","""2006-11-09T00:00:00.000""","""2006-11-09T00:00:00.000""","""2006-11-09T15:19:35.000""","""2006-11-09T15:21:21.000""","""2006-11-09T15:21:30.000""","""2006-11-09T15:24:06.000""","""2006-11-09T15:24:09.000""",,,"""Fire""","""2006-11-09T15:52:46.000""","""06TH ST/MINNA ST""","""SF""","""94103""","""B03""","""01""","""2251""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""3""","""6""","""South of Market""","""063130255-E01""","""POINT (-122.40816 37.780537)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063240071""","""M12""","""06091396""","""Structure Fire / Smoke in Building""","""2006-11-20T00:00:00.000""","""2006-11-19T00:00:00.000""","""2006-11-20T07:37:08.000""","""2006-11-20T07:38:13.000""","""2006-11-20T07:38:24.000""","""2006-11-20T07:40:33.000""","""2006-11-20T07:44:30.000""",,,"""Other""","""2006-11-20T07:55:30.000""","""LINCOLN WAY/17TH AVE""","""SF""","""94122""","""B08""","""22""","""7367""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""4""","""7""","""5""","""Golden Gate Park""","""063240071-M12""","""POINT (-122.47512 37.765545)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""12"""
"""063170249""","""E42""","""06089552""","""Traffic Collision""","""2006-11-13T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-13T15:23:47.000""","""2006-11-13T15:24:49.000""","""2006-11-13T15:25:02.000""","""2006-11-13T15:26:30.000""","""2006-11-13T15:27:59.000""",,,"""Other""","""2006-11-13T16:27:56.000""","""SILLIMAN ST/BRUSSELS ST""","""SF""","""94134""","""B10""","""42""","""6341""","""2""","""2""","""2""","""true""",,"""1""","""ENGINE""","""1""","""10""","""9""","""Portola""","""063170249-E42""","""POINT (-122.407074 37.730717)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""25"""
"""063120412""","""84""","""06088226""","""Medical Incident""","""2006-11-08T00:00:00.000""","""2006-11-08T00:00:00.000""","""2006-11-08T22:01:36.000""","""2006-11-08T22:06:25.000""","""2006-11-08T22:07:12.000""","""2006-11-08T22:07:53.000""","""2006-11-08T22:10:23.000""","""2006-11-08T22:21:57.000""","""2006-11-08T22:34:04.000""","""Code 2 Transport""","""2006-11-08T22:48:26.000""","""07TH ST/HARRISON ST""","""SF""","""94103""","""B03""","""08""","""0231""","""1""","""3""","""3""","""true""",,"""1""","""MEDIC""","""1""","""2""","""6""","""South of Market""","""063120412-84""","""POINT (-122.406296 37.775513)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063120294""","""E18""","""06088138""","""Electrical Hazard""","""2006-11-08T00:00:00.000""","""2006-11-08T00:00:00.000""","""2006-11-08T14:37:55.000""","""2006-11-08T14:39:38.000""","""2006-11-08T14:41:14.000""","""2006-11-08T14:42:38.000""","""2006-11-08T14:44:25.000""",,,"""Fire""","""2006-11-08T15:00:32.000""","""29TH AVE/NORIEGA ST""","""SF""","""94122""","""B08""","""18""","""7515""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""8""","""4""","""Sunset/Parkside""","""063120294-E18""","""POINT (-122.48718 37.75377)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""35"""
"""063280282""","""E10""","""06092645""","""Medical Incident""","""2006-11-24T00:00:00.000""","""2006-11-24T00:00:00.000""","""2006-11-24T19:36:28.000""","""2006-11-24T19:37:43.000""","""2006-11-24T19:38:25.000""",,,,,"""Other""","""2006-11-24T19:43:30.000""","""LAGUNA ST/GOLDEN GATE AVE""","""SF""","""94102""","""B02""","""05""","""3411""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""2""","""5""","""Western Addition""","""063280282-E10""","""POINT (-122.42702 37.780193)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""39"""
"""063210089""","""E43""","""06090561""","""Medical Incident""","""2006-11-17T00:00:00.000""","""2006-11-17T00:00:00.000""","""2006-11-17T09:06:06.000""","""2006-11-17T09:07:41.000""","""2006-11-17T09:07:51.000""","""2006-11-17T09:08:32.000""","""2006-11-17T09:30:13.000""",,,"""Other""","""2006-11-17T10:12:53.000""","""FELTON ST/AVALON AVE/PERU AVE""","""SF""","""94134""","""B09""","""43""","""6153""","""E""","""E""","""3""","""true""",,"""1""","""ENGINE""","""3""","""9""","""11""","""Excelsior""","""063210089-E43""","""POINT (-122.423325 37.72514)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""7"""
"""063190348""","""E31""","""06090210""","""Medical Incident""","""2006-11-15T00:00:00.000""","""2006-11-15T00:00:00.000""","""2006-11-15T20:38:57.000""","""2006-11-15T20:41:44.000""","""2006-11-15T20:42:14.000""","""2006-11-15T20:43:11.000""","""2006-11-15T20:44:43.000""",,,"""Other""","""2006-11-15T21:01:11.000""","""09TH AVE/BALBOA ST""","""SF""","""94118""","""B07""","""31""","""7134""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""7""","""1""","""Inner Richmond""","""063190348-E31""","""POINT (-122.467224 37.77709)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""11"""
"""063280332""","""87""","""06092687""","""Medical Incident""","""2006-11-24T00:00:00.000""","""2006-11-24T00:00:00.000""","""2006-11-24T22:33:03.000""","""2006-11-24T22:36:01.000""","""2006-11-24T22:37:00.000""","""2006-11-24T22:37:04.000""","""2006-11-24T22:40:12.000""","""2006-11-24T23:00:14.000""","""2006-11-24T23:34:54.000""","""Code 3 Transport""","""2006-11-25T00:17:23.000""","""21ST ST/DIAMOND ST""","""SF""","""94114""","""B06""","""24""","""5442""","""2""","""3""","""3""","""true""",,"""1""","""MEDIC""","""1""","""6""","""8""","""Noe Valley""","""063280332-87""","""POINT (-122.436745 37.755966)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""5"""
"""063260133""","""E12""","""06091999""","""Medical Incident""","""2006-11-22T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-22T11:25:21.000""","""2006-11-22T11:26:05.000""","""2006-11-22T11:26:41.000""","""2006-11-22T11:27:02.000""",,,,"""Other""","""2006-11-22T11:31:40.000""","""TARAVAL ST/18TH AVE""","""SF""","""94116""","""B08""","""40""","""7376""","""E""","""E""","""3""","""true""",,"""1""","""ENGINE""","""3""","""8""","""7""","""West of Twin Peaks""","""063260133-E12""","""POINT (-122.474625 37.743095)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""41"""
"""063270387""","""E02""","""06092440""","""Medical Incident""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T23:59:16.000""","""2006-11-23T23:59:17.000""","""2006-11-23T23:59:17.000""",,,,,"""Other""","""2006-11-24T00:07:24.000""","""FRESNO ST/GRANT AVE""","""SF""","""94133""","""B01""","""02""","""1311""","""2""","""2""","""2""","""false""",,"""1""","""ENGINE""","""3""","""1""","""3""","""North Beach""","""063270387-E02""","""POINT (-122.40715 37.79849)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""23"""
"""063220268""","""78""","""06090955""","""Medical Incident""","""2006-11-18T00:00:00.000""","""2006-11-18T00:00:00.000""","""2006-11-18T16:20:59.000""","""2006-11-18T16:23:32.000""","""2006-11-18T16:23:57.000""","""2006-11-18T16:30:27.000""","""2006-11-18T16:46:58.000""","""2006-11-18T17:03:25.000""","""2006-11-18T17:21:50.000""","""Code 2 Transport""","""2006-11-18T17:49:43.000""","""GEARY BLVD/GOUGH ST/PETER YORKE WAY/STARR KING WAY""","""SF""","""94109""","""B04""","""03""","""3222""","""2""","""2""","""2""","""true""",,"""1""","""MEDIC""","""1""","""4""","""5""","""Western Addition""","""063220268-78""","""POINT (-122.42469 37.785336)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""39"""
"""063270258""","""E37""","""06092351""","""Medical Incident""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T16:34:50.000""","""2006-11-23T16:35:55.000""","""2006-11-23T16:36:07.000""","""2006-11-23T16:37:25.000""","""2006-11-23T16:39:33.000""",,,"""Other""","""2006-11-23T16:43:38.000""","""KANSAS ST/19TH ST""","""SF""","""94107""","""B02""","""37""","""2455""","""E""","""E""","""3""","""false""",,"""1""","""ENGINE""","""2""","""10""","""10""","""Potrero Hill""","""063270258-E37""","""POINT (-122.40317 37.76089)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""26"""
"""063160195""","""E01""","""06089263""","""Medical Incident""","""2006-11-12T00:00:00.000""","""2006-11-12T00:00:00.000""","""2006-11-12T13:54:28.000""","""2006-11-12T13:54:28.000""","""2006-11-12T13:55:14.000""","""2006-11-12T13:56:23.000""","""2006-11-12T13:58:18.000""",,,"""Other""","""2006-11-12T14:00:58.000""","""04TH ST/ELLIS ST/MARKET ST/STOCKTON ST""","""SF""","""94103""","""B03""","""01""","""2209""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""1""","""6""","""South of Market""","""063160195-E01""","""POINT (-122.40583 37.785744)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""8"""
